fecha,hora,pagina,tema,idioma,ciudad,region,pais,coordenadas
2025-11-07,18:25:52,Menú,light,es,Gasteiz / Vitoria,Basque Country,ES,"42.8500,-2.6727"
2025-11-07,18:25:58,Inicio,light,es,Gasteiz / Vitoria,Basque Country,ES,"42.8500,-2.6727"
2025-11-07,21:18:28,Inicio,light,gl,Gasteiz / Vitoria,Basque Country,ES,"42.8500,-2.6727"
2025-11-07,21:18:35,Inicio,light,es,Gasteiz / Vitoria,Basque Country,ES,"42.8500,-2.6727"
2025-11-07,21:18:40,Menú,light,es,Gasteiz / Vitoria,Basque Country,ES,"42.8500,-2.6727"
2025-11-07,21:18:44,Menú,light,gl,Gasteiz / Vitoria,Basque Country,ES,"42.8500,-2.6727"
2025-11-07,21:18:55,Inicio,light,gl,Gasteiz / Vitoria,Basque Country,ES,"42.8500,-2.6727"
2025-11-08,01:39:04,Inicio,dark,gl,Gasteiz / Vitoria,Basque Country,ES,"42.8500,-2.6727"
2025-11-08,01:40:00,Menú,dark,gl,Gasteiz / Vitoria,Basque Country,ES,"42.8500,-2.6727"
2025-11-08,01:40:06,Menú,light,gl,Gasteiz / Vitoria,Basque Country,ES,"42.8500,-2.6727"
2025-11-08,01:44:26,Menú,light,gl,Gasteiz / Vitoria,Basque Country,ES,"42.8500,-2.6727"
2025-11-08,01:44:36,Menú,light,gl,Gasteiz / Vitoria,Basque Country,ES,"42.8500,-2.6727"
2025-11-08,01:44:42,Menú,dark,gl,Gasteiz / Vitoria,Basque Country,ES,"42.8500,-2.6727"
2025-11-08,01:44:54,Menú,dark,gl,Gasteiz / Vitoria,Basque Country,ES,"42.8500,-2.6727"
2025-11-08,01:44:57,Menú,dark,gl,Gasteiz / Vitoria,Basque Country,ES,"42.8500,-2.6727"
2025-11-08,01:45:00,Menú,dark,gl,Gasteiz / Vitoria,Basque Country,ES,"42.8500,-2.6727"
2025-11-08,01:45:03,Menú,dark,gl,Gasteiz / Vitoria,Basque Country,ES,"42.8500,-2.6727"
2025-11-08,01:45:55,Menú,light,gl,Gasteiz / Vitoria,Basque Country,ES,"42.8500,-2.6727"
2025-11-08,01:46:08,Menú,dark,gl,Gasteiz / Vitoria,Basque Country,ES,"42.8500,-2.6727"
2025-11-08,01:46:11,Menú,light,gl,Gasteiz / Vitoria,Basque Country,ES,"42.8500,-2.6727"
